Player,Position,Team,Birthday,InjuryStatus
Russell Westbrook,PG,LAL,1988/11/12,Healthy
Steven Adams,C,MEM,1993/07/20,Healthy
Santi Aldama,PF,MEM,2001/01/10,Healthy
Desmond Bane,SG,MEM,1998/06/25,Out
Dillon Brooks,SF,MEM,1996/01/22,Day-To-Day
Kennedy Chandler,G,MEM,2002/09/16,Healthy
Brandon Clarke,PF,MEM,1996/09/19,Healthy
Danny Green,SF,MEM,1987/06/22,Out
Jaren Jackson Jr.,PF,MEM,1999/09/15,Healthy
Tyus Jones,PG,MEM,1996/05/10,Healthy
John Konchar,SG,MEM,1996/03/22,Healthy
Jake LaRavia,F,MEM,2001/11/03,Day-To-Day
Kenneth Lofton Jr.,F,MEM,2002/08/14,Healthy
Ja Morant,PG,MEM,1999/08/10,Healthy
David Roddy,G,MEM,2001/03/27,Healthy
Xavier Tillman,C,MEM,1999/01/12,Healthy
Ziaire Williams,SG,MEM,2001/09/12,Out
Vince Williams Jr.,F,MEM,2000/08/30,Healthy
Bam Adebayo,C,MIA,1997/07/18,Healthy
Jimmy Butler,SF,MIA,1989/09/14,Out
Jamal Cain,F,MIA,1999/03/20,Day-To-Day
Dewayne Dedmon,C,MIA,1989/08/12,Day-To-Day
Udonis Haslem,PF,MIA,1980/06/09,Healthy
Tyler Herro,PG,MIA,2000/01/20,Day-To-Day
Haywood Highsmith,F,MIA,1996/12/09,Day-To-Day
Nikola Jovic,F,MIA,2003/06/09,Day-To-Day
Kyle Lowry,PG,MIA,1986/03/25,Healthy
Caleb Martin,SF,MIA,1995/09/28,Day-To-Day
Victor Oladipo,SG,MIA,1992/05/04,Out
Duncan Robinson,F,MIA,1994/04/22,Out
Dru Smith,G,MIA,1997/12/30,Healthy
Max Strus,SG,MIA,1996/03/28,Day-To-Day
Gabe Vincent,PG,MIA,1996/06/14,Day-To-Day
Omer Yurtseven,C,MIA,1998/06/19,Out
Grayson Allen,SG,MIL,1995/10/08,Healthy
Giannis Antetokounmpo,PF,MIL,1994/12/06,Healthy
Thanasis Antetokounmpo,SF,MIL,1992/07/18,Healthy
MarJon Beauchamp,G,MIL,2000/10/12,Out
Jevon Carter,PG,MIL,1995/09/14,Healthy
Pat Connaughton,SG,MIL,1993/01/06,Healthy
AJ Green,G,MIL,1999/09/27,Healthy
George Hill,PG,MIL,1986/05/04,Healthy
Jrue Holiday,PG,MIL,1990/06/12,Healthy
Serge Ibaka,F,MIL,1989/09/18,Out
Joe Ingles,SG,MIL,1987/10/02,Out
Brook Lopez,C,MIL,1988/04/01,Healthy
Sandro Mamukelashvili,PF,MIL,1999/05/23,Healthy
Wesley Matthews,SG,MIL,1986/10/14,Healthy
Khris Middleton,SF,MIL,1991/08/12,Out
Jordan Nwora,SF,MIL,1998/09/09,Healthy
Bobby Portis,F,MIL,1995/02/10,Healthy
Kyle Anderson,SF,MIN,1993/09/20,Healthy
Anthony Edwards,SG,MIN,2001/08/05,Healthy
Bryn Forbes,SG,MIN,1993/07/23,Healthy
Luka Garza,C,MIN,1998/12/27,Healthy
Rudy Gobert,C,MIN,1992/06/26,Healthy
Nathan Knight,F,MIN,1997/09/20,Healthy
A.J. Lawson,G,MIN,2000/07/15,Healthy
Jaden McDaniels,PF,MIN,2000/09/29,Day-To-Day
Jordan McLaughlin,PG,MIN,1996/04/09,Out
Josh Minott,F,MIN,2002/07/25,Healthy
Wendell Moore Jr.,G,MIN,2001/09/18,Healthy
Jaylen Nowell,SG,MIN,1999/07/09,Healthy
Taurean Prince,PF,MIN,1994/03/22,Out
Naz Reid,C,MIN,1999/08/26,Healthy
Austin Rivers,SG,MIN,1992/08/01,Healthy
D'Angelo Russell,PG,MIN,1996/02/23,Healthy
Karl-Anthony Towns,C,MIN,1995/11/15,Out
Jose Alvarado,PG,NO,1998/04/12,Healthy
Dyson Daniels,G,NO,2003/03/17,Healthy
Devonte' Graham,PG,NO,1995/02/22,Healthy
Jaxson Hayes,C,NO,2000/05/23,Healthy
Willy Hernangomez,C,NO,1994/05/27,Healthy
Brandon Ingram,SF,NO,1997/09/02,Out
Herbert Jones,SF,NO,1998/10/06,Healthy
Kira Lewis Jr.,PG,NO,2001/04/06,Healthy
E.J. Liddell,F,NO,2000/12/18,Out
Naji Marshall,SF,NO,1998/01/24,Day-To-Day
CJ McCollum,SG,NO,1991/09/19,Out
Trey Murphy III,SG,NO,2000/06/18,Healthy
Larry Nance Jr.,PF,NO,1993/01/01,Day-To-Day
Dereon Seabron,G,NO,2000/05/26,Healthy
Garrett Temple,SF,NO,1986/05/08,Healthy
Jonas Valanciunas,C,NO,1992/05/06,Healthy
Zion Williamson,PF,NO,2000/07/06,Healthy
Ryan Arcidiacono,G,NY,1994/03/26,Healthy
RJ Barrett,SG,NY,2000/06/14,Healthy
Jalen Brunson,PG,NY,1996/08/31,Healthy
Evan Fournier,SG,NY,1992/10/29,Healthy
Quentin Grimes,SG,NY,2000/05/08,Healthy
Isaiah Hartenstein,C,NY,1998/05/05,Healthy
Feron Hunt,F,NY,1999/07/05,Healthy
Trevor Keels,G,NY,2003/08/26,Healthy
Miles McBride,PG,NY,2000/09/08,Healthy
Svi Mykhailiuk,SG,NY,1997/06/10,Healthy
Immanuel Quickley,SG,NY,1999/06/17,Healthy
Julius Randle,PF,NY,1994/11/29,Healthy
Cam Reddish,SF,NY,1999/09/01,Healthy
