Player,Position,Team,Birthday,InjuryStatus
Carl Grundstrom,RW,LA,1997/12/01,Healthy
Arthur Kaliyev,RW,LA,2001/06/26,Healthy
Mikey Anderson,D,LA,1999/05/25,Healthy
Drew Doughty,D,LA,1989/12/08,Healthy
Sean Durzi,D,LA,1998/10/21,Healthy
Alexander Edler,D,LA,1986/04/21,Healthy
Matt Roy,D,LA,1995/09/01,Healthy
Jordan Spence,D,LA,2001/02/24,Healthy
Sean Walker,D,LA,1994/11/13,Healthy
Cal Petersen,G,LA,1994/10/19,Healthy
Jonathan Quick,G,LA,1986/01/21,Healthy
Connor Dewar,C,MIN,1999/06/26,Healthy
Joel Eriksson Ek,C,MIN,1997/01/29,Healthy
Frederick Gaudreau,C,MIN,1993/05/01,Healthy
Mason Shaw,C,MIN,1998/11/03,Healthy
Sam Steel,C,MIN,1998/02/03,Healthy
Matt Boldy,LW,MIN,2001/04/05,Healthy
Marcus Foligno,LW,MIN,1991/08/10,Healthy
Jordan Greenway,LW,MIN,1997/02/16,Healthy
Kirill Kaprizov,LW,MIN,1997/04/26,Healthy
Brandon Duhaime,RW,MIN,1997/05/22,Injured Reserve
Ryan Hartman,RW,MIN,1994/09/20,Injured Reserve
Pavel Novak,RW,MIN,2002/04/16,Injured Reserve
Ryan Reaves,RW,MIN,1987/01/20,Healthy
Mats Zuccarello,RW,MIN,1987/09/01,Healthy
Calen Addison,D,MIN,2000/04/11,Healthy
Jonas Brodin,D,MIN,1993/07/12,Day-To-Day
Matt Dumba,D,MIN,1994/07/25,Healthy
Alex Goligoski,D,MIN,1985/07/30,Healthy
Jon Merrill,D,MIN,1992/02/03,Healthy
Jacob Middleton,D,MIN,1996/01/02,Healthy
Jared Spurgeon,D,MIN,1989/11/29,Healthy
Marc-Andre Fleury,G,MIN,1984/11/28,Healthy
Filip Gustavsson,G,MIN,1998/06/07,Healthy
Kirby Dach,C,MTL,2001/01/21,Healthy
Christian Dvorak,C,MTL,1996/02/02,Healthy
Jake Evans,C,MTL,1996/06/02,Healthy
Sean Monahan,C,MTL,1994/10/12,Healthy
Rem Pitlick,C,MTL,1997/04/02,Healthy
Nick Suzuki,C,MTL,1999/08/10,Healthy
Jonathan Drouin,LW,MTL,1995/03/28,Injured Reserve
Mike Hoffman,LW,MTL,1989/11/24,Out
Michael Pezzetta,LW,MTL,1998/03/13,Healthy
Juraj Slafkovsky,LW,MTL,2004/03/30,Healthy
Josh Anderson,RW,MTL,1994/05/07,Healthy
Joel Armia,RW,MTL,1993/05/31,Healthy
Cole Caufield,RW,MTL,2001/01/02,Healthy
Evgenii Dadonov,RW,MTL,1989/03/12,Healthy
Brendan Gallagher,RW,MTL,1992/05/06,Healthy
Nicolas Beaudin,D,MTL,1999/10/07,Healthy
Kaiden Guhle,D,MTL,2002/01/18,Healthy
Jordan Harris,D,MTL,2000/07/07,Healthy
Johnathan Kovacevic,D,MTL,1997/07/12,Healthy
Mike Matheson,D,MTL,1994/02/27,Healthy
David Savard,D,MTL,1990/10/22,Healthy
Chris Wideman,D,MTL,1990/01/07,Healthy
Arber Xhekaj,D,MTL,2001/01/30,Healthy
Jake Allen,G,MTL,1990/08/07,Healthy
Sam Montembeault,G,MTL,1996/10/30,Healthy
Carey Price,G,MTL,1987/08/16,Injured Reserve
Joseph Vrbetic,G,MTL,2002/10/24,Healthy
Matt Duchene,C,NSH,1991/01/16,Healthy
Cody Glass,C,NSH,1999/04/01,Healthy
Mikael Granlund,C,NSH,1992/02/26,Healthy
Mark Jankowski,C,NSH,1994/09/13,Healthy
Ryan Johansen,C,NSH,1992/07/31,Healthy
Juuso Parssinen,C,NSH,2001/02/01,Healthy
Colton Sissons,C,NSH,1993/11/05,Healthy
Yakov Trenin,C,NSH,1997/01/13,Healthy
Filip Forsberg,LW,NSH,1994/08/13,Healthy
Tanner Jeannot,LW,NSH,1997/05/29,Healthy
Cole Smith,LW,NSH,1995/10/28,Healthy
Michael McCarron,RW,NSH,1995/03/07,Healthy
Nino Niederreiter,RW,NSH,1992/09/08,Healthy
Eeli Tolvanen,RW,NSH,1999/04/22,Healthy
Alexandre Carrier,D,NSH,1996/10/08,Healthy
Mattias Ekholm,D,NSH,1990/05/24,Healthy
Dante Fabbro,D,NSH,1998/06/20,Healthy
Roman Josi,D,NSH,1990/06/01,Healthy
Jeremy Lauzon,D,NSH,1997/04/28,Healthy
Ryan McDonagh,D,NSH,1989/06/13,Healthy
Kevin Lankinen,G,NSH,1995/04/28,Healthy
Juuse Saros,G,NSH,1995/04/19,Healthy
Jesper Boqvist,C,NJ,1998/10/30,Healthy
Nico Hischier,C,NJ,1999/01/04,Healthy
Jack Hughes,C,NJ,2001/05/14,Healthy
Michael McLeod,C,NJ,1998/02/03,Healthy
Dawson Mercer,C,NJ,2001/10/27,Healthy
Yegor Sharangovich,C,NJ,1998/06/06,Healthy
Jesper Bratt,LW,NJ,1998/07/30,Healthy
Erik Haula,LW,NJ,1991/03/23,Healthy
Ondrej Palat,LW,NJ,1991/03/28,Injured Reserve
Tomas Tatar,LW,NJ,1990/12/01,Healthy
Miles Wood,LW,NJ,1995/09/13,Healthy
Fabian Zetterlund,LW,NJ,1999/08/25,Healthy
Nathan Bastian,RW,NJ,1997/12/06,Out
Alexander Holtz,RW,NJ,2002/01/23,Healthy
Kevin Bahl,D,NJ,2000/06/27,Healthy
Ryan Graves,D,NJ,1995/05/21,Healthy
Dougie Hamilton,D,NJ,1993/06/17,Healthy
John Marino,D,NJ,1997/05/21,Healthy
Damon Severson,D,NJ,1994/08/07,Healthy
Jonas Siegenthaler,D,NJ,1997/05/06,Healthy
Brendan Smith,D,NJ,1989/02/08,Healthy
Nico Daws,G,NJ,2000/12/22,Healthy
Akira Schmid,G,NJ,2000/05/12,Day-To-Day
Vitek Vanecek,G,NJ,1996/01/09,Healthy
Mathew Barzal,C,NYI,1997/05/26,Healthy
Casey Cizikas,C,NYI,1991/02/27,Healthy
Brock Nelson,C,NYI,1991/10/15,Healthy
Jean-Gabriel Pageau,C,NYI,1992/11/11,Healthy
Kyle Palmieri,C,NYI,1991/02/01,Out
Anthony Beauvillier,LW,NYI,1997/06/08,Healthy
Ross Johnston,LW,NYI,1994/02/18,Healthy
Anders Lee,LW,NYI,1990/07/03,Healthy
Matt Martin,LW,NYI,1989/05/08,Healthy
Zach Parise,LW,NYI,1984/07/28,Healthy
Josh Bailey,RW,NYI,1989/10/02,Out
Cal Clutterbuck,RW,NYI,1987/11/18,Healthy
Simon Holmstrom,RW,NYI,2001/05/24,Healthy
Nikita Soshnikov,RW,NYI,1993/10/14,Healthy
Oliver Wahlstrom,RW,NYI,2000/06/13,Healthy
Sebastian Aho,D,NYI,1996/02/17,Healthy
Noah Dobson,D,NYI,2000/01/07,Healthy
Scott Mayfield,D,NYI,1992/10/14,Healthy
Adam Pelech,D,NYI,1994/08/16,Healthy
Ryan Pulock,D,NYI,1994/10/06,Healthy
Alexander Romanov,D,NYI,2000/01/06,Healthy
Robin Salo,D,NYI,1998/10/13,Healthy
Ilya Sorokin,G,NYI,1995/08/04,Healthy
Semyon Varlamov,G,NYI,1988/04/27,Healthy
Ryan Carpenter,C,NYR,1991/01/18,Healthy
Filip Chytil,C,NYR,1999/09/05,Healthy
Barclay Goodrow,C,NYR,1993/02/26,Healthy
Vincent Trocheck,C,NYR,1993/07/11,Healthy
Mika Zibanejad,C,NYR,1993/04/18,Healthy
Sammy Blais,LW,NYR,1996/06/17,Healthy
Chris Kreider,LW,NYR,1991/04/30,Healthy
Alexis Lafreniere,LW,NYR,2001/10/11,Healthy
Artemi Panarin,LW,NYR,1991/10/30,Healthy
Jimmy Vesey,LW,NYR,1993/05/26,Healthy
Julien Gauthier,RW,NYR,1997/10/15,Healthy
Kaapo Kakko,RW,NYR,2001/02/13,Healthy
Vitali Kravtsov,RW,NYR,1999/12/23,Healthy
Adam Fox,D,NYR,1998/02/17,Healthy
Libor Hajek,D,NYR,1998/02/04,Healthy
Zac Jones,D,NYR,2000/10/18,Healthy
Ryan Lindgren,D,NYR,1998/02/11,Healthy
K'Andre Miller,D,NYR,2000/01/21,Healthy
Braden Schneider,D,NYR,2001/09/20,Healthy
