Player,Position,Team,Birthday,InjuryStatus
Derrick Tangelo,DT,ATL,1999/05/14,Healthy
Vincent Taylor,DT,ATL,1994/01/05,Injured Reserve
A.J. Terrell,CB,ATL,1998/09/23,Healthy
Mykal Walker,LB,ATL,1997/08/28,Healthy
Avery Williams,CB,ATL,1998/07/15,Healthy
Beau Brinkley,LS,ATL,1990/01/25,Injured Reserve
Younghoe Koo,PK,ATL,1994/08/03,Healthy
Liam McCullough,LS,ATL,1997/06/05,Healthy
Bradley Pinion,P,ATL,1994/06/01,Healthy
Mark Andrews,TE,BAL,1995/09/06,Healthy
Tyler Badie,RB,BAL,2000/02/07,Healthy
Rashod Bateman,WR,BAL,1999/11/29,Injured Reserve
Nick Boyle,TE,BAL,1993/02/17,Healthy
Anthony Brown,QB,BAL,1998/07/27,Healthy
Ben Cleveland,G,BAL,1998/08/25,Healthy
Trystan Colon,C,BAL,1998/03/23,Healthy
Mike Davis,RB,BAL,1993/02/19,Healthy
J.K. Dobbins,RB,BAL,1998/12/17,Injured Reserve
Kenyan Drake,RB,BAL,1994/01/26,Healthy
Devin Duvernay,WR,BAL,1997/09/12,Healthy
Gus Edwards,RB,BAL,1995/04/13,Healthy
Daniel Faalele,OT,BAL,1999/11/09,Healthy
Justice Hill,RB,BAL,1997/11/14,Healthy
Tyler Huntley,QB,BAL,1998/02/03,Healthy
Andy Isabella,WR,BAL,1996/11/18,Healthy
DeSean Jackson,WR,BAL,1986/12/01,Healthy
Lamar Jackson,QB,BAL,1997/01/07,Healthy
Ja'Wuan James,OT,BAL,1992/06/03,Injured Reserve
Zack Johnson,G,BAL,1997/01/19,Healthy
Charlie Kolar,TE,BAL,1999/02/10,Healthy
Isaiah Likely,TE,BAL,2000/04/18,Questionable
Tyler Linderbaum,C,BAL,2000/04/07,Healthy
Ben Mason,FB,BAL,1999/05/25,Healthy
Kahlil McKenzie,G,BAL,1997/01/03,Healthy
Patrick Mekari,G,BAL,1997/08/13,Healthy
Morgan Moses,OT,BAL,1991/03/03,Healthy
Josh Oliver,TE,BAL,1997/03/21,Healthy
Ben Powers,G,BAL,1996/10/29,Healthy
James Proche II,WR,BAL,1996/09/21,Healthy
Patrick Ricard,FB,BAL,1994/05/27,Healthy
Demarcus Robinson,WR,BAL,1994/09/21,Healthy
David Sharpe,OT,BAL,1995/10/21,Healthy
Ronnie Stanley,OT,BAL,1994/03/18,Questionable
Binjimen Victor,WR,BAL,1997/01/15,Healthy
Tylan Wallace,WR,BAL,1999/05/13,Healthy
Kevin Zeitler,G,BAL,1990/03/08,Healthy
